id_file,id_track,track_name,size_bytes,prime_genre,rating_count_tot,n_citacoes
8,284035177,Pandora - Music & Radio,130242560,Music,1126879,100
202,324684580,Spotify Music,132510720,Music,878563,100
20,284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,Music,402925,100
40,290638154,iHeartRadio – Free Music & Radio Stations,116443136,Music,293228,100
93,302584613,"Kindle – Read eBooks, Magazines & Textbooks",169747456,Book,252076,100
270,336353151,SoundCloud - Music & Audio,105009152,Music,135744,100
816,421254504,Magic Piano by Smule,55030784,Music,131695,100
1431,509993510,Smule Sing!,109940736,Music,119316,100
803,418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,101735424,Music,110420,100
1438,510855668,Amazon Music,77778944,Music,106235,100
